Fullmetal Alchemist: Brotherhood,1,9.14
Gintama°,2,9.08
Shingeki no Kyojin Season 3 Part 2,3,9.08
Steins;Gate,4,9.08
Spy x Family,5,9.06
Gintama',6,9.05
Gintama: The Final,7,9.05
Hunter x Hunter (2011),8,9.05
Fruits Basket: The Final,9,9.04
Ginga Eiyuu Densetsu,10,9.04
Gintama': Enchousen,11,9.04
Gintama.,12,8.99
Kaguya-sama wa Kokurasetai: Ultra Romantic,13,8.98
3-gatsu no Lion 2nd Season,14,8.96
Gintama,15,8.95
Koe no Katachi,16,8.95
Violet Evergarden Movie,17,8.95
Clannad: After Story,18,8.94
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,19,8.93
Code Geass: Hangyaku no Lelouch R2,20,8.91
Owarimonogatari 2nd Season,21,8.90
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,22,8.88
Kimetsu no Yaiba: Yuukaku-hen,23,8.88
Kimi no Na wa.,24,8.87
Shingeki no Kyojin: The Final Season Part 2,25,8.86
Shingeki no Kyojin: The Final Season,26,8.85
Monster,27,8.83
Mob Psycho 100 II,28,8.81
Gintama.: Shirogane no Tamashii-hen,29,8.81
Kingdom 3rd Season,30,8.80
Kingdom 4th Season,31,8.80
Kizumonogatari III: Reiketsu-hen,32,8.80
Shiguang Dailiren,33,8.80
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,34,8.79
Monogatari Series: Second Season,35,8.78
Sen to Chihiro no Kamikakushi,36,8.78
Cowboy Bebop,37,8.76
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,38,8.75
Odd Taxi,39,8.75
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,40,8.75
Mushishi Zoku Shou 2nd Season,41,8.74
Hajime no Ippo,42,8.74
Vinland Saga,43,8.73
86 Part 2,44,8.72
Ashita no Joe 2,45,8.71
Fate/stay night Movie: Heaven's Feel - III. Spring Song,46,8.71
Mushishi Zoku Shou,47,8.71
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,48,8.71
Mo Dao Zu Shi: Wanjie Pian,49,8.70
Code Geass: Hangyaku no Lelouch,50,8.70
Great Teacher Onizuka,51,8.69
Jujutsu Kaisen (TV),52,8.69
Made in Abyss,53,8.68
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,54,8.68
Mononoke Hime,55,8.68
Mushishi,56,8.67
Shigatsu wa Kimi no Uso,57,8.67
Violet Evergarden,58,8.67
